Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Марьино,FitEnergy,Gym / Fitness Center,"Новочеркасский бул., 57, корп. 2",55.647675048380535,37.74284569992387
Марьино,Олимп,Gym / Fitness Center,"Луговой пр-д, 12",55.64635874972982,37.753548601259546
Можайский,СССР Фитнес Верейская Premium,Gym / Fitness Center,"Верейская, д.29 стр 134, 121357",55.70953123265296,37.44222453852628
Очаково-Матвеевское,Strong,Gym / Fitness Center,"Нежинская ул., 17, корп. 2",55.706844502066794,37.467160380365684
Очаково-Матвеевское,FitCurves,Climbing Gym,Нежинская 17/2,55.70683823386585,37.46742557724284
Марьино,Акробат,Gymnastics Gym,"ул. Перерва, 19, стр. 1",55.6554778859233,37.730998168265316
Марьино,Maxima Fitnes,Gym,"ул. Перерва, 50, корп. 1",55.6531004870705,37.73850732240607
Марьино,Alex Fitness,Gym / Fitness Center,"Люблинская ул., 169, корп. 2",55.64914255840618,37.745053530842405
Можайский,Зебра,Gym / Fitness Center,"ул. Толбухина, 10, корп. 3, 121354",55.72147051250649,37.40280253631305
Можайский,"Центр Единоборств ""Крылья Советов""",Martial Arts Dojo,"Кубинка, 7",55.719546028932285,37.4075294204669
Можайский,X-Fit,Gym / Fitness Center,"ул. Кутузова, 11, стр. 2",55.72363885908271,37.411587770368904
Можайский,Fit-Studio,Gym,"Улица Гришина, дом 5, 121354",55.72115549681671,37.415942295744784
Можайский,Империя фитнеса,Gym,Гришина,55.72130834029557,37.41893887920807
Можайский,Спорт Спорт Спорт,Gym,Россия,55.71784975963261,37.434500475157684
Очаково-Матвеевское,Dancera,Yoga Studio,Веерная 30 К.2,55.70986385628912,37.47712900725717
Нагатинский Затон,Фитнес ТАЙМ,Gym,"Проспект Андропова, 37",55.67310056167363,37.66414497661489
Марьино,Альфа-Будо,Martial Arts Dojo,Люблинская,55.65387336715684,37.74449591799499
Марьино,X-Fit,Gym / Fitness Center,"Братиславская ул., 30",55.65223833896886,37.76729179279766
Марьино,Raketa Mari,Gym / Fitness Center,"Поречная ул. 10, 109469",55.64930890007224,37.77008436472853
Нагатинский Затон,СпортЛэнд,Gym / Fitness Center,"Кленовый бул., 23 (Коломенская ул.)",55.675810895776884,37.6823056229312
Марьино,СпортЛэнд,Gym / Fitness Center,"Люблинская ул., 153, 109382",55.65883,37.741654
Марьино,Zebra Fitness,Gym / Fitness Center,"ТЦ «БУМ» (ул. Перерва, 43, корп. 1)",55.65929024291602,37.74855810270286
Марьино,"Центр йоги и массажа ""Vita""",Yoga Studio,"Братиславская ул., 18, корп. 1",55.656582362929875,37.760183590710795
Марьино,FRESH Fitness Club,Gym,"Братиславская ул., 22",55.6557877382253,37.76220973301305
Марьино,Тонус Клуб (Фитнес для женщин),Gym / Fitness Center,"ул. Братиславская, 18, к. 1",55.6583756378032,37.75977623584042
Можайский,N-Ergo,Gym / Fitness Center,"Можайское ш., 2 (Рублёвское ш.), 121374",55.725848700397094,37.446356946290216
Можайский,Lakshmi Studio,Yoga Studio,"Можайское ш., 2",55.724436820067645,37.44780992827524
Марьино,Территория фитнеса,Gym / Fitness Center,"Перервинский бул., 4, корп. 1",55.66203783941178,37.76452660560608
Марьино,"Фитнес-клуб & салон красоты ""БиоАльянс""",Gym,"г. Москва, ул. Марьинский парк, д. 9, к. 2",55.65870283927085,37.77707856424567
Кунцево,Gym,Gym,город Москва,55.733787613979864,37.40596521416007
Кунцево,GYMS.MOSCOW,Gym / Fitness Center,Ул. партизанская 10,55.732351806209095,37.41243668372253
Кунцево,Combat Moscow,Martial Arts Dojo,"Молодогвардейская ул., 15",55.733543873407896,37.42781144850621
