Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.63897969033916,37.70711207740858",55.638979690339156,37.707112077408574,4fced950e4b0191229d8462b,Open Air Gym At Mar'insky Park,"[('Gym', '4bf58dd8d48988d176941735')]",55.64182876879265,37.70540393194798,Россия,334,Марьино,Gym,4bf58dd8d48988d176941735
"55.71593860474799,37.38453498108312",55.71593860474799,37.384534981083114,532d7c8b498e16982501a928,Фитнесс клуб С.С.С.Р,"[('Gym', '4bf58dd8d48988d176941735')]",55.71614204015617,37.38425504678004,"Можайское шоссе, Стр.166Б",28,Можайский,Gym,4bf58dd8d48988d176941735
"55.64760079243966,37.7369910310982",55.647600792439654,37.736991031098206,4d1cc975aff260fc77bc2934,Miss Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64606388856174,37.7376315200105,"Новочеркасский бул., 44, 109144",175,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.64415882295123,37.75457397975025",55.64415882295123,37.754573979750255,4cdd7fd16ad1a093c2d7f756,Олимп,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64635874972982,37.753548601259546,"Луговой пр-д, 12",253,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.70921399197945,37.44452037420791",55.70921399197945,37.444520374207904,59089409c9f90767e748c3f9,СССР Фитнес Верейская Premium,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.70953123265296,37.44222453852628,"Верейская, д.29 стр 134, 121357",148,Можайский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.70581151250507,37.46216847237514",55.70581151250507,37.46216847237514,556ac9fc498e03302e2fc212,Strong,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.706844502066794,37.467160380365684,"Нежинская ул., 17, корп. 2",333,Очаково-Матвеевское,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65276692806055,37.73522935606685",55.65276692806055,37.73522935606685,4e82b35677c8a556c7256f77,Maxima Fitnes,"[('Gym', '4bf58dd8d48988d176941735')]",55.6531004870705,37.73850732240607,"ул. Перерва, 50, корп. 1",209,Марьино,Gym,4bf58dd8d48988d176941735
"55.6510462625327,37.744022577244486",55.6510462625327,37.74402257724449,4e477763a809fb2fa3f9d686,Alex Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64914255840618,37.745053530842405,"Люблинская ул., 169, корп. 2",221,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.72287492716327,37.39857310045135",55.722874927163275,37.39857310045135,4cdfb7ebf8a4a143135be0bc,Зебра,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.72147051250649,37.40280253631305,"ул. Толбухина, 10, корп. 3, 121354",307,Можайский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.71947850681885,37.416233208938735",55.719478506818845,37.416233208938735,5328946b498e016da754f548,Fit-Studio,"[('Gym', '4bf58dd8d48988d176941735')]",55.72115549681671,37.415942295744784,"Улица Гришина, дом 5, 121354",187,Можайский,Gym,4bf58dd8d48988d176941735
